Area (sqm),Price ($)
185.806,88600
148.6448,71600
183.94794,93300
170.94152,84300
158.86413,80600
143.99965,75200
136.56741,69700
158.86413,82000
143.07062,69400
150.50286,78700
139.3545,79600
159.79316,82600
148.6448,74500
157.9351,83500
133.78032,76300
141.21256,74000
182.08988,92890
157.9351,79500
131.92226,75600
141.21256,70000
176.5157,82600
152.36092,73600
176.5157,92100
172.79958,84700
157.9351,82600
147.71577,75900
130.99323,68700
164.43831,84700
143.99965,72400
148.6448,76700
146.78674,82600
163.50928,83600
148.6448,78500
166.29637,84500
137.49644,78500
139.3545,72000
183.94794,92990
158.86413,81500
130.0642,71300
147.71577,72500